"COUNTRY";"STATE";"CITY";"LONGITUDE";"LATITUDE";"PLATENUM";"ZIP"
"DE";"Mecklenburg-Vorpommern";"Altwarp";"14.2833";"53.75";"UER";17375
"DE";"Rheinland-Pfalz";"Altweidelbach";"7.56667";"49.9833";"SIM";55469
"DE";"Mecklenburg-Vorpommern";"Altwigshagen";"13.8333";"53.7";"UER";17379
"DE";"Mecklenburg-Vorpommern";"Alt Zachun";01.11.33;"53.4833";"LWL";19230
"DE";"Brandenburg";"Alt Zauche";"14.0167";"51.9167";"LDS";15913
"DE";"Schleswig-Holstein";"Alveslohe";"9.91667";"53.7833";"SE";25486
"DE";"Bayern";"Alzenau in Unterfranken";"9.06667";"50.0833";"AB";63755
"DE";"Rheinland-Pfalz";"Alzey";"8.11611";"49.7517";"AZ";55232
"DE";"Bayern";"Amberg";01.10.33;"48.0667";"MN";86854
"DE";"Bayern";"Amberg";01.11.22;"49.4414";"AM";92224
